""	"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"NA"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.1"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.2"	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"0610010F05Rik"	513.036651579021	632.710471445382	393.362831712659	0.621710639329312	-0.685684826971792	0.000198174129443568	0.00398491279016012
"16"	"0610010K14Rik"	798.073716804779	636.221490617572	959.925942991986	1.50879207500551	0.59339400332854	0.000771357734084442	0.0117112621630312
"29"	"0610039K10Rik"	325.191761956678	406.477365379174	243.906158534182	0.600048561884029	-0.736848832242516	0.00238001748145606	0.0276066722270244
"54"	"1110014N23Rik"	700.247356376096	578.820507410842	821.674205341351	1.41956650606046	0.505450440267673	0.00496502096852066	0.047132039307211
"NA.3"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.5"	NA	NA	NA	NA	NA	NA	NA	NA
"99"	"1190005F20Rik"	596.529056058134	470.48289487936	722.575217236907	1.53581612658243	0.619005501770801	0.000520795948651758	0.00858646848796321
"103"	"1200009I06Rik"	57.7056664226073	35.1333856302188	80.2779472149959	2.28494765804602	1.19216111743112	7.6520049203075e-05	0.00182323927011343
"108"	"1300001I01Rik"	3393.82020301694	4129.12960352946	2658.51080250443	0.643842905834685	-0.635219373349243	0.000138206649696395	0.00298900880164734
"114"	"1300017J02Rik"	354.740117389039	685.096609126953	24.3836256511248	0.0355915141401704	-4.81232288024681	6.11537357808435e-88	1.83838322046512e-84
"NA.6"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.7"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.8"	NA	NA	NA	NA	NA	NA	NA	NA
"136"	"1500032L24Rik"	1408.32129224367	1058.98642846473	1757.65615602262	1.65975324024765	0.730968768359348	0.000143822276221354	0.00308824094786258
"NA.9"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.10"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.11"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.12"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.13"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.14"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.15"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.16"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.17"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.18"	NA	NA	NA	NA	NA	NA	NA	NA
"167"	"1700001L05Rik"	104.75435802437	179.890425595708	29.618290453031	0.164646285954074	-2.60255812650754	6.63302436780823e-22	1.4590226892946e-19
"NA.19"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.20"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.21"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.22"	NA	NA	NA	NA	NA	NA	NA	NA
"NA.23"	NA	NA	NA	NA	NA	NA	NA	NA
