Gene_id	EKLF+/+ rep1	EKLF+/+ rep2	EKLF+/+ rep3	EKLF-/- rep1	EKLF-/- rep2	EKLF-/- rep3
0610005C13Rik	21	15	21	34	19	15
0610007C21Rik	177	236	234	297	360	270
0610007L01Rik	1504	2035	1576	1651	1592	1608
0610007N19Rik	3	1	2	3	2	3
0610007P08Rik	518	722	578	612	325	515
0610007P14Rik	515	590	572	603	670	569
0610007P22Rik	204	302	285	322	445	351
0610008F07Rik	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0
0610009B22Rik	126	140	151	178	181	179
0610009D07Rik	811	1059	1216	1082	1340	1066
0610009L18Rik	6	10	7	13	19	8
0610009O20Rik	763	1009	673	882	830	914
0610010B08Rik	0	0	0	0	0	0
0610010F05Rik	497	718	643	507	336	396
0610010K14Rik	529	746	594	957	1129	914
0610010O12Rik	4	1	1	5	17	8
0610011F06Rik	188	289	253	337	453	321
0610011L14Rik	383	528	453	589	554	548
0610012G03Rik	404	465	354	500	793	529
0610012H03Rik	0	2	5	1	1	2
0610030E20Rik	593	934	760	1011	684	886
0610031J06Rik	474	699	503	760	977	729
0610031O16Rik	0	1	0	0	0	0
0610037L13Rik	242	354	289	384	447	296
0610037P05Rik	434	633	609	732	881	778
0610038B21Rik	46	51	44	34	19	34
0610038L08Rik	29	49	23	40	24	33
0610039K10Rik	333	493	372	370	153	250
0610040B10Rik	4	8	5	6	11	6
0610040F04Rik	5	8	6	8	11	11
0610040J01Rik	31	60	59	41	64	46
0610043K17Rik	0	1	0	0	1	1
0910001L09Rik	382	518	494	684	1147	635
100043387	45	41	46	35	30	25
1100001G20Rik	67	125	121	151	248	150
1110001A16Rik	285	324	342	421	565	402
1110001J03Rik	232	312	281	384	571	372
1110002B05Rik	388	537	488	570	680	540
1110002L01Rik	181	234	183	300	249	262
1110002N22Rik	105	154	151	153	188	168
1110003E01Rik	190	301	216	262	364	301
1110004E09Rik	407	488	501	497	527	453
1110004F10Rik	1521	1913	1796	1855	1853	1744
1110005A03Rik	186	273	178	318	367	283
1110006O24Rik	30	42	23	17	26	13
1110007C09Rik	59	109	79	118	190	133
1110008F13Rik	1753	2367	2285	2362	3282	2437
1110008J03Rik	79	100	95	92	99	77
1110008L16Rik	260	338	276	319	266	262
1110008P14Rik	154	201	183	217	277	225
1110012J17Rik	1	9	7	11	8	6
1110012L19Rik	65	87	86	83	118	102
1110014N23Rik	471	695	539	816	920	831
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	2	0
1110017F19Rik	9	34	7	9	9	7
1110018G07Rik	1391	1870	1490	1904	960	1513
1110018J18Rik	122	153	167	150	120	158
1110019D14Rik	20	19	24	20	14	17
1110020A21Rik	18	19	19	21	30	19
1110020G09Rik	3114	3831	3659	5092	3555	4643
1110021J02Rik	580	784	709	702	632	670
1110021L09Rik	50	60	60	56	39	40
1110028C15Rik	151	203	169	191	158	187
1110028F11Rik	12	29	20	20	33	30
1110028F18Rik	0	1	0	0	1	0
1110031I02Rik	117	160	119	163	226	167
1110032A03Rik	72	84	92	102	125	85
1110032A04Rik	1	0	3	1	0	0
1110032F04Rik	19	17	25	17	7	19
1110034A24Rik	462	584	499	632	551	542
1110034B05Rik	100	122	123	172	158	151
1110034G24Rik	52	80	99	119	138	89
1110035M17Rik	1	8	2	4	4	7
1110036E04Rik	0	1	1	0	0	0
1110037F02Rik	1443	1989	1556	1796	1185	1407
1110038B12Rik	616	811	609	640	797	678
1110038D17Rik	1543	1777	1783	2073	1526	1728
1110038F14Rik	329	350	303	439	606	437
1110046J04Rik	0	2	3	0	1	0
1110049F12Rik	1012	1215	1047	1575	1709	1476
