"","GENEID","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSMUSG00000020125","Elane",3554.46705192922,-4.46451822991906,0.15909223041354,-28.0624529451509,2.81538428101121e-173,4.31232410322487e-169
"2","ENSMUSG00000073902","Gm1966",6286.50101505965,-4.24959236735706,0.162146303031283,-26.2083827254279,2.13264978826871e-151,1.63328984034559e-147
"3","ENSMUSG00000039109","F13a1",2464.21560479581,-4.15620670895661,0.159199380171345,-26.106927705895,3.04187138620779e-150,1.55307813408482e-146
"4","ENSMUSG00000040314","Ctsg",2227.13604262279,-4.47719908776389,0.173343467982838,-25.828484568032,4.24583463155484e-147,1.62583622628814e-143
"5","ENSMUSG00000018819","Lsp1",1347.47006653305,-4.17604571492406,0.16433817301609,-25.4112945171612,1.89195543721344e-142,5.79581628635964e-139
"6","ENSMUSG00000021728","Emb",4837.79803287388,-3.51583500684383,0.150504600301435,-23.3603158960073,1.08261300851771e-120,2.76373057524429e-117
"7","ENSMUSG00000029915","Clec5a",513.966654183531,-4.83767000225278,0.207646608866865,-23.2976114016603,4.68743954007629e-120,1.02567873479069e-116
"8","ENSMUSG00000049103","Ccr2",2721.50843037748,-3.50690677079257,0.153597782227949,-22.8317539480361,2.21873824911635e-115,4.2480517202144e-112
"9","ENSMUSG00000016494","Cd34",3147.91526305112,-3.93842468765312,0.172935001583266,-22.7740171254853,8.29810507858003e-115,1.41224528320678e-111
"10","ENSMUSG00000042817","Flt3",544.580603502266,-4.10176923495596,0.183041361536065,-22.4089746739989,3.21760693512224e-111,4.92840854252674e-108
"11","ENSMUSG00000031722","Hp",1573.87906445601,-3.69054607382221,0.166470573572011,-22.1693599933791,6.78685022311316e-109,9.45038044249312e-106
"12","ENSMUSG00000022584","Ly6c2",1639.22946639336,-4.41215056172177,0.199407912578708,-22.1262561984859,1.76649042379383e-108,2.2547778184375e-105
"13","ENSMUSG00000024681","Ms4a3",3124.75332006649,-3.79956660687664,0.176466552867187,-21.5313697986512,7.91590532785169e-103,9.32676322359264e-100
"14","ENSMUSG00000076617","Ighm",449.579661979697,-3.76870145585299,0.175598241585608,-21.4620683090136,3.52279124808787e-102,3.85418525335442e-99
"15","ENSMUSG00000009350","Mpo",35119.8060613242,-2.57874686064385,0.120366955506887,-21.4240432499459,7.97564704875163e-102,8.14419905638191e-99
"16","ENSMUSG00000063286","Gm8995",4707.66523911841,-3.49760128267907,0.169786519828735,-20.5999939583374,2.74477278461629e-94,2.62760529637298e-91
"17","ENSMUSG00000040710","St8sia4",859.72801506957,-3.00573222914812,0.146939997933528,-20.4555074957047,5.36609736062452e-93,4.83485372192269e-90
"18","ENSMUSG00000028859","Csf3r",1165.24853354743,-3.97163026616777,0.196772289563649,-20.1838900943574,1.35639820828377e-90,1.15421951979347e-87
"19","ENSMUSG00000032436","Cmtm7",2109.15133095258,-2.14872145112508,0.107574306848548,-19.9742997568203,9.21671956236211e-89,7.4301312387737e-86
"20","ENSMUSG00000057729","Prtn3",3508.72530897786,-4.54350749004274,0.231918583311234,-19.5909591425253,1.84678182504422e-85,1.41435786071012e-82
"21","ENSMUSG00000027435","Cd93",482.514547074354,-3.3719239053205,0.172380054369357,-19.5609864357944,3.32580806015566e-85,2.42578105035258e-82
"22","ENSMUSG00000026581","Sell",1189.85778473838,-3.5228842161706,0.18835705735547,-18.703223896316,4.66001837421648e-78,3.24443188353972e-75
"23","ENSMUSG00000031885","Cbfb",1154.71778464467,-2.25282320086887,0.121229668772576,-18.5831011804142,4.40309781162147e-77,2.93227170350461e-74
"24","ENSMUSG00000030220","Arhgdib",3915.32193511773,-2.24482703317636,0.123372728784976,-18.19548821919,5.60376177091766e-74,3.57636746021441e-71
"25","ENSMUSG00000015937","H2afy",3638.8914554509,-2.1956664963198,0.121583001512236,-18.0589923674391,6.70350744464446e-73,4.10710494118477e-70
"26","ENSMUSG00000069833","Ahnak",3704.96854249991,-3.24701168038076,0.18101643319884,-17.937662470755,5.99233534986326e-72,3.53017694437906e-69
"27","ENSMUSG00000009376","Met",1517.93704838158,-3.14195390061005,0.178304204336807,-17.6213113554803,1.69040661919807e-69,9.58961414305812e-67
"28","ENSMUSG00000026623","Lpgat1",1020.45833377848,-2.51659000932969,0.145806570371643,-17.2597846785314,9.4462513357464e-67,5.16743684677242e-64
"29","ENSMUSG00000039997","Ifi203",1228.83412414882,-3.96213854371616,0.230805619871653,-17.1665600946781,4.72611570762901e-66,2.49620394116392e-63
"30","ENSMUSG00000020340","Cyfip2",2123.12184249474,-2.10553861811976,0.123460049982361,-17.054412487445,3.24115250787192e-65,1.65482443210247e-62
"31","ENSMUSG00000056515","Rab31",467.3467762905,-2.74379407721539,0.163090662179661,-16.8237349738198,1.63517064412942e-63,8.07932540520335e-61
"32","ENSMUSG00000034330","Plcg2",4252.38105751462,-2.53840856956345,0.151953678681742,-16.7051471973903,1.20230938839234e-62,5.75492903187672e-60
"33","ENSMUSG00000025790","Slco3a1",264.578676010266,-3.53127405234768,0.211542182322969,-16.6930019042555,1.47370779025044e-62,6.84023703735331e-60
"34","ENSMUSG00000058624","Gda",1007.8842096051,-3.44299074627831,0.206507364310102,-16.6724840916963,2.07777191403334e-62,9.3603624727202e-60
"35","ENSMUSG00000023008","Fmnl3",502.100481682907,-2.65317840825748,0.159245234594487,-16.6609595258138,2.51949740295563e-62,1.10260404917347e-59
"36","ENSMUSG00000068747","Sort1",1608.35068036296,-2.15158352344543,0.12949008458767,-16.6158168040173,5.35406174968278e-62,2.27800455055253e-59
"37","ENSMUSG00000026536","Mnda",1115.04773620398,-4.09009048511938,0.246375546628195,-16.6010407327141,6.84929784378571e-62,2.83542419116935e-59
"38","ENSMUSG00000056758","Hmga2",582.516807073816,-3.01799940598521,0.181895175988964,-16.5919705653344,7.96631350400195e-62,3.18778059085364e-59
"39","ENSMUSG00000029553","Tfec",558.116557763442,-3.39273760258385,0.204501785364702,-16.5902590851877,8.19660154852785e-62,3.18778059085364e-59
"40","ENSMUSG00000021614","Vcan",597.463040445732,-4.53376981890358,0.273294381437199,-16.5893268462433,8.3248171074065e-62,3.18778059085364e-59
"41","ENSMUSG00000036452","Arhgap26",571.779222414408,-3.27985916622986,0.198261918051969,-16.5430618166931,1.79654287241337e-61,6.71162126262332e-59
"42","ENSMUSG00000032577","Mapkapk3",994.057332751977,-1.95903111364322,0.119976133837947,-16.3285067702657,6.18804355906365e-60,2.25672055224233e-57
"43","ENSMUSG00000017493","Igfbp4",574.135717538516,-2.92389280594304,0.180055533320811,-16.2388389405032,2.67947621958058e-59,9.54454354774784e-57
"44","ENSMUSG00000032786","Alas1",2048.52294317949,-2.42309687989721,0.149479104886869,-16.2102715408357,4.26679222574481e-59,1.48532855731212e-56
"45","ENSMUSG00000069830","Nlrp1a",267.103250497262,-3.43165443652008,0.212779116130927,-16.1277784160384,1.62771020056112e-58,5.54036380933215e-56
"46","ENSMUSG00000040950","Mgl2",454.329351388321,-3.81301593904739,0.238882790106585,-15.9618695735515,2.35567882010273e-57,7.84389836685076e-55
"47","ENSMUSG00000027339","Rassf2",514.217414265064,-2.46760118887736,0.155161856670919,-15.9034007572548,6.00163929162598e-57,1.955895936805e-54
"48","ENSMUSG00000060131","Atp8b4",8017.09478411705,-2.54116039273663,0.16011314937656,-15.8710287233202,1.0057874731874e-56,3.20950973475237e-54
"49","ENSMUSG00000026074","Map4k4",1678.49400042381,-1.786068834716,0.112890733686672,-15.8212173522871,2.22155365516743e-56,6.9443953747346e-54
"50","ENSMUSG00000023972","Ptk7",298.933467105267,-3.55335276646205,0.225242016216921,-15.7757101722973,4.57226259890586e-56,1.40066692454882e-53
"51","ENSMUSG00000031133","Arhgef6",2494.58809111852,-2.60933564125048,0.165645111871348,-15.7525665066234,6.59495303512013e-56,1.98068422821441e-53
"52","ENSMUSG00000020077","Srgn",2797.50341836263,-1.81083223784851,0.11524378083736,-15.7130582205046,1.23095136236152e-55,3.62586192640219e-53
"53","ENSMUSG00000051855","Mest",774.210074257935,-1.81073185103763,0.115968613696211,-15.6139820363894,5.84708882282106e-55,1.68980866979529e-52
"54","ENSMUSG00000025324","Atp10a",670.626334013113,-2.86995415338831,0.184554535640286,-15.5507104901617,1.57350504026137e-54,4.46321790771916e-52
"55","ENSMUSG00000096719","Mrgpra2b",319.125448456864,-3.78830568955153,0.24668772556043,-15.3566849787324,3.19499199342872e-53,8.8977622478814e-51
"56","ENSMUSG00000049313","Sorl1",3231.54655892711,-3.23881411400363,0.211050967865408,-15.3461230088701,3.75995858510028e-53,1.02841581514252e-50
"57","ENSMUSG00000035105","Egln3",232.708034675559,-3.0737670520421,0.201809093204932,-15.2310631955557,2.19984818810162e-52,5.91141661353552e-50
"58","ENSMUSG00000004707","Ly9",417.742010198414,-2.52636428753773,0.166087539332739,-15.2110405012168,2.98756646224994e-52,7.88975094866936e-50
"59","ENSMUSG00000044734","Serpinb1a",3538.90059296102,-3.2939768791629,0.21730842870171,-15.1580723253234,6.70072743405787e-52,1.73957698487228e-49
"60","ENSMUSG00000026832","Cytip",377.889909339067,-2.57305952414189,0.171132097067797,-15.0355168213858,4.29681722041789e-51,1.09690582275235e-48
"61","ENSMUSG00000058135","Gstm1",1839.70876729497,-2.00536898203355,0.136191425725739,-14.7246346188632,4.47883845327714e-49,1.12462899325977e-46
"62","ENSMUSG00000026822","Lcn2",2138.41281506448,-4.02776255795714,0.273566521485244,-14.7231559479196,4.57787563755932e-49,1.13095679258865e-46
"63","ENSMUSG00000034220","Gpc1",303.493162861754,-4.00927793195902,0.272628954937434,-14.7059872377793,5.90040809114615e-49,1.43454842431882e-46
"64","ENSMUSG00000038608","Dock10",7180.91582605918,-2.55817493166315,0.174580019818021,-14.6533087482161,1.28311933219874e-48,3.07086543926376e-46
"65","ENSMUSG00000050931","Sgms2",413.700167313305,-3.08379288026047,0.210569055699886,-14.6450430240598,1.4490950287076e-48,3.41473670072529e-46
