Gene,ESRE,ESRE,ESRE,EBI Mac,EBI Mac,EBI Mac,Spl Mac,Spl Mac
0610005C13Rik,0,0,0,8.556055917,4.442043181,7.578779793,0,0
0610007C21Rik,75.6315629,73.71648251,91.43426852,72.11532845,69.88814605,84.44926055,369.1574521,440.8145073
0610007L01Rik,463.1138166,487.0886566,497.2443862,612.7765762,602.6371916,568.7693787,303.4170839,426.3615726
0610007N19Rik,0,0,0,1.222293702,0.296136212,0.721788552,10.1139028,36.13233666
0610007P08Rik,136.7584425,149.2992051,128.1208577,211.0493793,213.8103451,208.5968914,60.68341678,65.03820599
0610007P14Rik,147.1189306,123.1718442,152.3904475,209.8270856,174.7203651,206.4315258,247.7906185,462.4939093
0610007P22Rik,109.8211735,108.2419237,88.61222319,83.11597177,89.43313605,102.8548686,161.8224448,260.152824
0610008F07Rik,0,0,0,0,0,0,0,0
0610009B14Rik,0,0,0.564409065,0,0,0,0,0
0610009B22Rik,39.36985466,54.12096184,42.33067987,51.3363355,41.45906969,54.49503565,101.139028,93.94407532
0610009D07Rik,394.7345954,348.0537719,392.2643001,330.4267309,313.6082486,438.8474394,273.0753755,245.6998893
0610009L18Rik,3.10814642,1.866240064,6.208499714,2.444587405,2.961362121,2.526259931,80.91122238,79.49114065
0610009O20Rik,589.5117711,556.1395389,526.0292485,310.8700317,298.801438,242.8818476,85.96817378,115.6234773
0610010B08Rik,0,3.732480127,0,0,0,0,0,0
0610010F05Rik,81.84785574,69.98400238,86.35458693,202.4933234,212.6258003,232.0550194,35.39865979,79.49114065
0610010K14Rik,206.1737125,194.0889666,188.5126277,215.5311229,220.9176142,214.3711998,551.2077025,794.9114065
0610010O12Rik,324.2832765,372.3148927,416.5338899,1.629724937,0.296136212,0.360894276,96.08207657,14.45293466
0610011F06Rik,99.46068545,74.64960254,64.3426334,76.59707202,85.5833653,91.30625179,111.2529308,86.71760799
0610011L14Rik,116.0374664,108.2419237,127.5564487,156.0461627,156.35992,163.485107,232.6197643,224.0204873
0610012G03Rik,20.72097614,21.46176073,34.99336203,164.6022186,137.7033386,127.7565736,955.7638143,1250.178848
0610012H03Rik,0,0,0,0,0.592272424,1.804471379,0,0
0610030E20Rik,260.0482505,270.6048092,270.9163512,241.6067219,276.5912221,274.2796496,429.8408689,325.1910299
