id	GWEIGHT	log2WT	log2KO	log2KO-WT
EWEIGHT		0.5	0.5	2
0610005C13Rik	1	4.404731165	4.484404255	0.07967309
0610007C21Rik	1	7.797627818	8.216870646	0.419242827
0610007L01Rik	1	10.7693386	10.59883387	-0.170504728
0610007N19Rik	1	1.679568013	1.82765133	0.148083317
0610007P08Rik	1	9.276781934	8.850831121	-0.425950813
0610007P14Rik	1	9.178336002	9.204552452	0.02621645
0610007P22Rik	1	8.078133318	8.490892497	0.41275918
0610008F07Rik	1	0	0	0
0610009B14Rik	1	0	0	0
0610009B22Rik	1	7.181728234	7.434899759	0.253171525
0610009D07Rik	1	10.05051007	10.12665045	0.076140378
0610009L18Rik	1	3.128838386	3.783845567	0.655007182
0610009O20Rik	1	9.704697502	9.715108269	0.010410767
0610010B08Rik	1	0	0	0
0610010F05Rik	1	9.307680045	8.623379775	-0.684300269
0610010K14Rik	1	9.315651113	9.908281439	0.592630326
0610010O12Rik	1	1.701420709	3.422742107	1.721321398
0610011F06Rik	1	7.95856847	8.479411982	0.520843512
0610011L14Rik	1	8.865149646	9.078998962	0.213849316
0610012G03Rik	1	8.720279144	9.195205482	0.474926338
0610012H03Rik	1	1.740424414	1.196089367	-0.544335047
0610030E20Rik	1	9.598762861	9.682953016	0.084190155
0610031J06Rik	1	9.153326464	9.627016207	0.473689742
0610031O16Rik	1	0.361415423	0	-0.361415423
0610037L13Rik	1	8.237414132	8.494690577	0.257276445
0610037P05Rik	1	9.160012585	9.583366799	0.423354214
0610038B21Rik	1	5.634107272	4.842669939	-0.791437333
0610038L08Rik	1	5.120842859	4.990776431	-0.130066427
0610039K10Rik	1	8.670576112	7.936085243	-0.734490869
0610040B10Rik	1	2.73608115	3.069167027	0.333085876
0610040F04Rik	1	2.891469084	3.413050592	0.521581508
0610040J01Rik	1	5.686278684	5.629924684	-0.056354
0610043K17Rik	1	0.361415423	0.730978093	0.36956267
0910001L09Rik	1	8.899632683	9.630186221	0.730553539
100043387	1	5.558326193	4.887952375	-0.670373818
1100001G20Rik	1	6.734536007	7.469839639	0.735303632
1110001A16Rik	1	8.363592145	8.799769707	0.436177561
1110001J03Rik	1	8.144494778	8.736669509	0.592174731
1110002B05Rik	1	8.916756228	9.164305585	0.247549357
1110002L01Rik	1	7.682745608	8.019008332	0.336262723
1110002N22Rik	1	7.136474473	7.359224244	0.222749771
1110003E01Rik	1	7.906066723	8.222335795	0.316269072
1110004E09Rik	1	8.911732125	8.885343558	-0.026388567
1110004F10Rik	1	10.81015904	10.7670163	-0.043142738
1110005A03Rik	1	7.760299018	8.278088887	0.517789869
1110006O24Rik	1	5.053386013	4.242234347	-0.811151666
1110007C09Rik	1	6.389247724	7.157307205	0.768059481
1110008F13Rik	1	11.09776445	11.34025576	0.242491307
1110008J03Rik	1	6.56978319	6.435434163	-0.134349027
1110008L16Rik	1	8.228288294	8.08029972	-0.147988574
1110008P14Rik	1	7.532794358	7.854487877	0.321693518
1110012J17Rik	1	2.68844953	3.154855573	0.466406044
1110012L19Rik	1	6.365601923	6.620329669	0.254727745
1110014N23Rik	1	9.17946255	9.684177399	0.504714849
1110015O18Rik	1	0	0	0
1110017D15Rik	1	0	0.727132919	0.727132919
1110017F19Rik	1	4.069496753	3.164721856	-0.904774897
1110018G07Rik	1	10.66389073	10.43871949	-0.225171241
1110018J18Rik	1	7.256831537	7.10527534	-0.151556197
1110019D14Rik	1	4.522313968	4.105965083	-0.416348886
1110020A21Rik	1	4.350609221	4.55002019	0.199410969
1110020G09Rik	1	11.83137732	12.04709928	0.215721967
1110021J02Rik	1	9.470378514	9.323538781	-0.146839734
1110021L09Rik	1	5.8950324	5.45368104	-0.44135136
1110028C15Rik	1	7.488477195	7.42663383	-0.061843366
1110028F11Rik	1	4.404844164	4.795060138	0.390215974
1110028F18Rik	1	0.361415423	0.408899935	0.047484512
1110031I02Rik	1	7.086471205	7.486255157	0.399783952
1110032A03Rik	1	6.435530273	6.654174731	0.218644458
1110032A04Rik	1	1.302442456	0.377759949	-0.924682507
1110032F04Rik	1	4.482967699	3.876951729	-0.606015971
1110034A24Rik	1	9.050978157	9.105157297	0.05417914
1110034B05Rik	1	6.902679658	7.270543899	0.367864241
1110034G24Rik	1	6.318867147	6.799532801	0.480665654
1110035M17Rik	1	2.13407429	2.544144077	0.410069787
1110036E04Rik	1	0.71288478	0	-0.71288478
1110037F02Rik	1	10.73183851	10.44514764	-0.28669087
1110038B12Rik	1	9.44320792	9.407012112	-0.036195808
1110038D17Rik	1	10.7822073	10.72739163	-0.054815669
1110038F14Rik	1	8.412362751	8.895109708	0.482746957
1110046J04Rik	1	1.396460515	0.408899935	-0.98756058
1110049F12Rik	1	10.13707396	10.57231457	0.435240605
1110050K14Rik	1	1.602092111	0.730978093	-0.871114017
1110051M20Rik	1	6.176050116	6.134428791	-0.041621325
1110054M08Rik	1	2.904958704	3.323620397	0.418661693
1110054O05Rik	1	9.121519881	9.119728446	-0.001791435
1110057K04Rik	1	9.473401408	9.470253812	-0.003147596
1110058L19Rik	1	6.684826442	7.4181128	0.733286358
1110059E24Rik	1	7.800907735	7.869299398	0.068391663
1110059G10Rik	1	7.616653651	8.03831131	0.421657658
1110059M19Rik	1	0	0	0
