"","GENEID","GENENAME","1_EKLF_GFP","2_EKLF_GFP","9_EKLF_GFP","3_minus","4_minus","10_minus"
"ENSMUSG00000000001","ENSMUSG00000000001","Gnai3",3259.64849737656,2802.90568088999,3086.69176960148,3752.51142768459,3739.91428335036,3362.99485012448
"ENSMUSG00000000028","ENSMUSG00000000028","Cdc45",2225.61783047255,3171.14788533369,3457.01989277375,2402.71703187884,2444.02290143675,2954.4774659166
"ENSMUSG00000000037","ENSMUSG00000000037","Scml2",357.964102324013,421.882861441137,429.743624394148,322.061618913174,255.702706281321,358.581039229792
"ENSMUSG00000000049","ENSMUSG00000000049","Apoh",134.27123521183,185.550609716238,80.2560980122179,113.544626225143,174.787610448077,140.216071927014
"ENSMUSG00000000056","ENSMUSG00000000056","Narf",4015.49254234087,4746.00740331306,4334.61916874976,1966.7345669199,2049.76338631455,2145.40733969564
"ENSMUSG00000000058","ENSMUSG00000000058","Cav2",14.0019735991743,3.18891006166423,5.35993895193826,18.6540197839674,29.8931043961222,31.7230548530018
"ENSMUSG00000000078","ENSMUSG00000000078","Klf6",79.9913741687499,88.4094081589132,194.304237292738,139.392183414606,87.3938052240387,166.50658541333
"ENSMUSG00000000085","ENSMUSG00000000085","Scmh1",1033.06260243701,874.741612699095,782.640720019056,749.31268138074,831.932741896241,844.193323424101
"ENSMUSG00000000088","ENSMUSG00000000088","Cox5a",3226.31875813958,3832.16582772771,3742.46857046448,2819.22998773647,3401.15066722419,3301.65031865642
"ENSMUSG00000000093","ENSMUSG00000000093","Tbx2",2.85683479174107,7.64031922360978,4.22400515853778,6.46188929736583,2.70290119249604,6.5726283715788
"ENSMUSG00000000127","ENSMUSG00000000127","Fer",1069.57071361696,1138.50227328489,1220.74742151933,754.776513810883,629.618483728653,858.911523319574
"ENSMUSG00000000131","ENSMUSG00000000131","Xpo6",6610.62597270945,5106.58677623081,5773.47370852418,5731.62043945707,5862.32070723233,4921.27362935376
"ENSMUSG00000000134","ENSMUSG00000000134","Tfe3",329.600498701016,355.419837030465,436.092401468942,535.754822831873,496.74745328678,545.662615387823
"ENSMUSG00000000142","ENSMUSG00000000142","Axin2",45.595283757967,50.8441455324069,76.9033459892993,24.7671172697819,34.7857368870742,20.4131839937576
"ENSMUSG00000000148","ENSMUSG00000000148","Brat1",364.32378858897,216.121423666084,237.890931970303,285.312421238549,287.866661896083,274.784181731818
"ENSMUSG00000000149","ENSMUSG00000000149","Gna12",183.789704935342,154.989332821798,221.760270823234,146.777199754453,168.48084099892,154.456766732102
"ENSMUSG00000000154","ENSMUSG00000000154","Slc22a18",19.0545031584982,12.3819834510619,10.109742327489,21.8170984311676,11.0725532165554,15.5336885970596
"ENSMUSG00000000157","ENSMUSG00000000157","Itgb2l",30.4577568591261,55.3523131337237,103.716435621126,602.121332588883,581.829840973688,630.515437499139
"ENSMUSG00000000159","ENSMUSG00000000159","Igsf5",2.12494578880016,2.43555223217673,0,1.02994838577193,5.02612062407455,2.1207678481807
"ENSMUSG00000000167","ENSMUSG00000000167","Pih1d2",31.6449556607374,26.7809288339719,14.9181950359085,40.0299894913897,18.0871820763957,24.1178953131796
"ENSMUSG00000000168","ENSMUSG00000000168","Dlat",3131.93257408256,2196.49486319894,2229.70853705142,2289.60417957078,2593.49763547317,1657.53020449114
"ENSMUSG00000000171","ENSMUSG00000000171","Sdhd",2145.48292859754,2345.5780016482,2217.60270823234,1673.62932801775,1863.19988869394,2138.29509688697
"ENSMUSG00000000184","ENSMUSG00000000184","Ccnd2",369.483966398512,269.594121175945,299.904366256183,230.781760620208,292.814295853738,314.390723773852
"ENSMUSG00000000194","ENSMUSG00000000194","Gpr107",808.827840117202,962.631755875361,911.811269513374,818.028549249311,826.615865098135,728.986590557177
"ENSMUSG00000000204","ENSMUSG00000000204","Slfn4",5.71366958348214,16.372112622021,11.6160141859789,140.315310457087,140.550862009794,170.888337661049
"ENSMUSG00000000223","ENSMUSG00000000223","Drp2",58.9875122656661,66.0762004077221,76.4592253293691,38.6872770303204,20.9643266855853,49.4052831342216
"ENSMUSG00000000244","ENSMUSG00000000244","Tspan32",1176.67107260121,1008.04584379549,1080.93671716288,806.984171644645,772.228046371239,628.555742989135
"ENSMUSG00000000247","ENSMUSG00000000247","Lhx2",0,5.37255102379419,1.93526923192697,2.70576961469573,5.3548966076102,0.50188565050624
"ENSMUSG00000000253","ENSMUSG00000000253","Gmpr",5289.67020324147,5482.95688352686,5813.19062201556,2138.21963593692,2364.00900494821,1492.3803343835
"ENSMUSG00000000266","ENSMUSG00000000266","Mid2",11.2403747910724,11.0500085624818,4.21668547780266,11.0583285240399,18.8875217832244,24.3268220191259
"ENSMUSG00000000275","ENSMUSG00000000275","Trim25",1227.25350391558,1139.00226435805,930.156299704811,1416.09573668192,1179.38325893745,1171.17256664284
"ENSMUSG00000000276","ENSMUSG00000000276","Dgke",138.243408312079,133.025935815258,133.667263284025,157.390292243157,150.8939355595,171.752447502799
"ENSMUSG00000000278","ENSMUSG00000000278","Scpep1",257.115131256696,292.515078846775,330.528403655581,315.709448528445,317.140406586202,316.581599897712
"ENSMUSG00000000282","ENSMUSG00000000282","Mnt",138.017641516877,127.065557263948,198.103013023744,213.704295769587,156.046883248985,192.5978461367
"ENSMUSG00000000290","ENSMUSG00000000290","Itgb2",796.721503068175,779.888007077565,1047.32101238963,3024.96645809109,2924.88217889082,2440.81169507507
"ENSMUSG00000000295","ENSMUSG00000000295","Hddc2",475.958276982604,483.699545405769,429.846212015003,364.664901042615,410.04308736718,444.179334791454
"ENSMUSG00000000301","ENSMUSG00000000301","Pemt",88.7592448524699,66.602255702723,68.8076406810727,52.3255933181095,59.3888511905952,81.3840210947677
"ENSMUSG00000000303","ENSMUSG00000000303","Cdh1",96.4966501818687,109.472448723836,111.304324965764,157.603349806313,100.447797480121,98.3692779517633
"ENSMUSG00000000317","ENSMUSG00000000317","Bcl6b",14.0554111504869,10.739940812344,45.5772947050673,12.1112406534307,8.12659801688591,12.5754356725831
"ENSMUSG00000000318","ENSMUSG00000000318","Clec10a",13.1140521146217,7.79449684802692,4.3549035695484,28.5451446017636,19.4353135399257,32.8952729448632
"ENSMUSG00000000320","ENSMUSG00000000320","Alox12",266.364530297047,330.966792776371,355.690603705822,83.4850150838185,102.26569307497,112.457808345388
"ENSMUSG00000000325","ENSMUSG00000000325","Arvcf",235.734063184257,191.519571860532,194.896459723747,134.207528053469,84.5904820739694,101.632635183867
"ENSMUSG00000000326","ENSMUSG00000000326","Comt",1148.46943564404,955.461250536855,1008.47179156922,535.926497334441,643.925509259079,454.219891113017
"ENSMUSG00000000339","ENSMUSG00000000339","Rtca",1452.17180553591,828.930155932118,1106.78331451487,1292.23867823773,1319.95396899975,782.117980845085
"ENSMUSG00000000340","ENSMUSG00000000340","Dbt",242.830957297991,217.203360785478,241.824295326288,293.554399508905,273.893987506266,262.905134863152
"ENSMUSG00000000346","ENSMUSG00000000346","Dazap2",1685.53252712723,1614.29030453127,1693.82606857365,1729.0169505666,1673.09583815505,1630.01183615154
"ENSMUSG00000000355","ENSMUSG00000000355","Mcts1",1129.61173312821,1630.91202526078,1227.07113212994,1326.52983834616,1267.5916859518,1729.21269850287
"ENSMUSG00000000365","ENSMUSG00000000365","Rnf17",183.789704935342,229.209576708293,252.384308222633,186.471662581128,162.174071549762,117.211872626489
"ENSMUSG00000000374","ENSMUSG00000000374","Trappc10",3842.44279489174,3660.80438228389,3971.62085031515,2378.89838847311,2766.86985405178,1948.78431217311
"ENSMUSG00000000378","ENSMUSG00000000378","Ccm2",1026.12224393569,913.191199239974,977.110108582849,1172.51901183146,942.381878031377,1040.40002057529
"ENSMUSG00000000384","ENSMUSG00000000384","Tbrg4",2231.33671208171,1863.36612571878,2069.7884412037,2165.87671354135,2124.00312850015,1605.63711687983
"ENSMUSG00000000385","ENSMUSG00000000385","Tmprss2",5.71366958348214,0,1.05600128963445,0.923127042480834,2.70290119249604,5.477190309649
"ENSMUSG00000000386","ENSMUSG00000000386","Mx1",0,3.15528763397113,6.53077501492273,17.6806355543253,14.4224444030882,22.7920494487205
"ENSMUSG00000000392","ENSMUSG00000000392","Fap",11.6111130646027,11.4499049548309,5.06546661331416,8.90107574418528,27.7302927631472,12.4516769651373
"ENSMUSG00000000399","ENSMUSG00000000399","Ndufa9",2195.00139832105,1745.26720550744,1939.87436905848,1853.63910130151,2074.9271487728,1554.42660987839
"ENSMUSG00000000409","ENSMUSG00000000409","Lck",45.0465749104378,55.8436650731097,74.3069483609938,75.3116867251764,61.3042421926792,164.770596829794
"ENSMUSG00000000416","ENSMUSG00000000416","Cttnbp2",30.8099702979003,35.5141825289292,78.6625657672663,36.3984385996393,9.54639067936981,25.308601309727
"ENSMUSG00000000420","ENSMUSG00000000420","Galnt1",5164.56572241722,5146.992494703,5100.1474739669,4226.05165150414,4165.68207596234,3954.56604802562
"ENSMUSG00000000439","ENSMUSG00000000439","Mkrn2",402.813705635491,354.729106810454,368.544450082422,439.408472220877,444.176762633516,423.934529966832
"ENSMUSG00000000440","ENSMUSG00000000440","Pparg",27.6588508215859,26.2359605159434,49.7089476410716,241.625543338006,197.032722526839,186.512958371408
"ENSMUSG00000000441","ENSMUSG00000000441","Raf1",2341.8411283501,1590.76457546933,2263.65444029825,2395.6257817235,2450.26369452686,1660.90001141065
"ENSMUSG00000000486","ENSMUSG00000000486","Sept1",328.252077981902,344.096922354181,391.452031607746,376.257815625241,354.73537373987,396.919551774712
"ENSMUSG00000000489","ENSMUSG00000000489","Pdgfb",13.3318956947917,8.73179339841118,17.9520219237856,9.23127042480833,15.3164400908109,12.0498186812278
"ENSMUSG00000000530","ENSMUSG00000000530","Acvrl1",22.8576803985022,36.9351072779385,15.2841771187642,117.646315906413,68.6850514044573,98.0980446210213
"ENSMUSG00000000531","ENSMUSG00000000531","Grasp",0,1.0914741748014,3.16800386890334,16.616286764655,15.3164400908109,26.2905134863152
"ENSMUSG00000000532","ENSMUSG00000000532","Acvr1b",135.223513475744,138.617220199778,176.352215368952,353.557657270159,336.060714933674,362.589998498764
"ENSMUSG00000000538","ENSMUSG00000000538","Tom1l2",291.544972161977,312.249954059442,322.382342856729,215.249550012103,231.724461166859,226.173654053319
"ENSMUSG00000000552","ENSMUSG00000000552","Zfp385a",231.403618131027,192.099454765046,151.008184417726,360.942673610006,351.377155024485,347.253865631746
"ENSMUSG00000000555","ENSMUSG00000000555","Itga5",496.136975499032,495.529275359835,491.040599680017,840.045608657558,873.938052240387,765.71120528893
"ENSMUSG00000000561","ENSMUSG00000000561","Wdr77",2736.13179251936,2214.74284391941,2304.18129901288,2630.2982116575,2738.20506031278,2482.45634208719
