,GENEID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,ENSMUSG00000020900,Myh10,6532.84099626092,1.42630260058321,0.100545050355049,14.1857067607664,1.12328309329911E-45,2.15066589250781E-43
2,ENSMUSG00000058620,Adra2b,957.360802654564,1.71287846792623,0.127257040417189,13.4599898151872,2.68953283914266E-41,3.81440504603224E-39
3,ENSMUSG00000034127,Tspan8,1291.68067518584,1.59391224030581,0.121429938148951,13.1261883568667,2.33097235137567E-39,3.00029441227068E-37
4,ENSMUSG00000028542,Slc6a9,2799.0131987212,1.6910414245411,0.130394582851706,12.9686478345828,1.84252000437334E-38,2.20483428960832E-36
5,ENSMUSG00000027333,Smox,1017.22542901696,1.42497479835661,0.10995712021244,12.9593681209869,2.07953438215675E-38,2.45017139473038E-36
6,ENSMUSG00000041237,Pklr,6763.0110668522,1.36299575844907,0.106567529818373,12.7899723374659,1.8654029200798E-37,2.0555666566088E-35
7,ENSMUSG00000047181,Samd14,936.331601220567,1.47551992540919,0.115395979331193,12.786580034772,1.94861895596176E-37,2.13192832489045E-35
8,ENSMUSG00000023942,Slc29a1,4162.4263153786,1.09997870194011,0.086145300038496,12.768876554479,2.44660212949773E-37,2.65777339131324E-35
9,ENSMUSG00000042476,Abcb4,5968.8376258063,1.47614373488083,0.116057391781977,12.7190841721988,4.63257910458364E-37,4.99698691161321E-35
10,ENSMUSG00000032350,Gclc,4149.56639645564,1.0055497485192,0.079423327867798,12.6606347972848,9.77060708067438E-37,1.04654817241042E-34
11,ENSMUSG00000028063,Lmna,1495.31158944221,1.57641944937344,0.12551755426525,12.5593544154156,3.53202862925322E-36,3.65541098069403E-34
12,ENSMUSG00000047446,Arl4a,1878.04338700676,1.33668851785439,0.107358391143708,12.4507130147389,1.38601374493203E-35,1.3785436708522E-33
13,ENSMUSG00000048191,Muc6,3771.78414621792,1.33969672428482,0.108032861616509,12.4008260471746,2.58643424066522E-35,2.52333842447575E-33
14,ENSMUSG00000028644,Ermap,8719.86337670762,1.50854339116508,0.125251777859207,12.0440876524787,2.0836900726758E-33,1.81340232063496E-31
15,ENSMUSG00000021061,Sptb,22147.2428704544,1.52931401299528,0.127822343856023,11.9643715399076,5.46094844048832E-33,4.57078400344042E-31
16,ENSMUSG00000004319,Clcn3,5488.41572065881,1.15218523502923,0.096579436682769,11.9299229173781,8.26499900506835E-33,6.84297241949362E-31
17,ENSMUSG00000027330,Cdc25b,4958.15391499499,1.5313077407176,0.129020043615766,11.8687585107162,1.72001089981511E-32,1.38660036591937E-30
18,ENSMUSG00000061887,Ssbp3,4222.07527209298,0.960525114819754,0.080988400805816,11.8600331067505,1.90899629805841E-32,1.53089509410265E-30
19,ENSMUSG00000043190,Rfesd,1955.99062687668,1.42322360497119,0.120011080459656,11.8591016722796,1.93035027292561E-32,1.53995703804175E-30
20,ENSMUSG00000006586,Runx1t1,541.138974729804,1.57235782338132,0.133093700803744,11.8139161649722,3.30787160197752E-32,2.57191214860354E-30
21,ENSMUSG00000024184,Pdia2,886.715341275274,1.80196707455552,0.153849381130359,11.7125402865852,1.09935677411512E-31,8.29499887148836E-30
22,ENSMUSG00000031543,Ank1,27442.4239688193,1.46574661689814,0.125300875366206,11.6978162571836,1.30775617954288E-31,9.81906931473442E-30
